TweetID	Intent	Date	City	County	State	Country	Gender
522600972476903424	no	2014-10-16	x	x	Illinois	United States	x
522645182953836544	no	2014-10-16	Los Angeles	Los Angeles County	California	United States	x
522662196984033281	yes	2014-10-16	x	x	x	x	x
522673895745536000	no	2014-10-16	Rochester	Monroe County	New York	United States	x
522740864758468608	no	2014-10-16	Detroit	Wayne County	Michigan	United States	x
522755307848867840	no	2014-10-16	x	x	x	x	x
522761546318233600	no	2014-10-16	x	x	x	x	x
522768885322633216	no	2014-10-16	Chicago	Cook County	Illinois	United States	x
522775425232015361	no	2014-10-16	x	x	x	United States	x
522775800110526464	yes	2014-10-16	x	x	x	x	x
522783032390852608	no	2014-10-16	x	x	Arizona	United States	x
522784821144461312	no	2014-10-16	x	x	x	x	x
522789017763340288	no	2014-10-16	Saskatoon	Saskatchewan	Saskatchewan	Canada	x
522805873799094272	yes	2014-10-16	x	x	x	x	x
522812000599277569	no	2014-10-16	x	x	Texas	United States	x
522816731899633664	yes	2014-10-16	x	x	x	x	x
523726964671012865	yes	2014-10-19	x	x	x	x	x
523831638891831296	no	2014-10-19	x	x	x	x	x
523831940492038144	no	2014-10-19	x	x	x	x	x
523851902032048128	no	2014-10-19	x	x	x	United States	x
523854837797371904	yes	2014-10-19	x	x	Texas	United States	x
523866178356543488	no	2014-10-19	x	x	x	x	x
523873878100410370	no	2014-10-19	x	x	x	x	x
523910622883643392	yes	2014-10-19	x	x	x	x	x
523917891972780033	no	2014-10-19	x	x	x	x	x
523920853277622272	yes	2014-10-19	x	x	x	x	x
523941027103911937	no	2014-10-19	x	x	x	x	x
523947759783927808	yes	2014-10-19	Lincolnton	Lincoln County	North Carolina	United States	x
523961093467934720	no	2014-10-19	x	x	x	x	x
523961602580971520	no	2014-10-19	St Louis	St Louis City	Missouri	United States	x
523979871350173696	no	2014-10-19	x	x	x	x	x
523980543688331264	no	2014-10-19	x	x	x	x	x
523984687148961793	yes	2014-10-19	x	x	x	x	x
523991610221404160	no	2014-10-20	x	x	x	Australia	x
524006281229918208	yes	2014-10-20	x	x	x	x	x
524017625974964224	no	2014-10-20	New York	New York County	New York	United States	x
524024612250587136	yes	2014-10-20	x	x	x	x	x
524034293371523072	yes	2014-10-20	x	x	California	United States	x
526303376179724288	no	2014-10-26	x	x	x	India	x
526381580978503682	yes	2014-10-26	x	x	x	x	x
526383648610983936	yes	2014-10-26	x	x	x	x	x
526398896222638080	no	2014-10-26	x	x	x	x	x
526408950003298304	yes	2014-10-26	x	x	x	x	x
526415271901536258	no	2014-10-26	x	x	x	India	x
526423505962041344	no	2014-10-26	x	x	x	United States	x
526430517646729216	yes	2014-10-26	x	x	x	x	x
526438537005395968	yes	2014-10-26	x	x	x	x	x
526439450684166144	no	2014-10-26	x	x	Florida	United States	x
526440786863218688	no	2014-10-26	Kingston	Frontenac	Ontario	Canada	x
526461213107322880	no	2014-10-26	Lima	Allen County	Ohio	United States	x
526461803619160065	yes	2014-10-26	x	x	x	x	x
526466631833497600	no	2014-10-26	x	x	x	India	x
526478805519831040	no	2014-10-26	x	x	Florida	United States	x
526482309105848320	no	2014-10-26	x	x	California	United States	x
526502263859474434	yes	2014-10-26	x	x	x	x	x
526521514590760961	yes	2014-10-26	x	x	x	x	x
526528299514998785	no	2014-10-27	x	x	x	x	x
526551086039969792	no	2014-10-27	x	x	Utah	United States	x
526557115054571522	yes	2014-10-27	x	x	x	x	x
526562814547492864	no	2014-10-27	x	x	x	India	x
526569692572315648	no	2014-10-27	Lincoln	Lancaster County	Nebraska	United States	x
527332522124800000	no	2014-10-29	x	x	x	x	x
527379076277739520	no	2014-10-29	x	x	x	United States	x
527383264722710528	yes	2014-10-29	x	x	x	x	x
527417062042251265	no	2014-10-29	x	x	x	x	x
527428580246949889	no	2014-10-29	North Bay	Oneida County	New York	United States	x
527457324597010432	yes	2014-10-29	x	x	x	x	x
527464202332426241	yes	2014-10-29	x	x	x	x	x
527475268014080001	no	2014-10-29	x	x	Nebraska	United States	x
527483229469945856	no	2014-10-29	x	x	x	x	x
527499155808481280	yes	2014-10-29	x	x	x	x	x
527503980214370305	no	2014-10-29	Durham	Durham County	North Carolina	United States	x
527513764644802560	yes	2014-10-29	x	x	x	x	x
527521321824317441	no	2014-10-29	Centennial	Arapahoe County	Colorado	United States	x
527529914111913985	yes	2014-10-29	x	x	x	x	x
527547399875481600	yes	2014-10-29	x	x	x	x	x
527550497063182337	no	2014-10-29	x	x	x	Canada	x
527554848611655680	yes	2014-10-29	x	x	x	x	x
517407058539577344	no	2014-10-1	Chicago	Cook County	Illinois	United States	x
520407728058302465	yes	2014-10-10	x	x	x	x	x
521900656773189632	no	2014-10-14	x	x	x	x	x
521981067096756224	yes	2014-10-14	x	x	x	x	x
521984136572329984	no	2014-10-14	x	x	x	United Kingdom	x
521998137842728960	no	2014-10-14	x	x	x	x	x
522008006633205760	yes	2014-10-14	x	x	x	x	x
522008128204730368	yes	2014-10-14	x	x	x	x	x
522013563465265152	yes	2014-10-14	x	x	x	x	x
522022682041536512	no	2014-10-14	Atlanta	Fulton County	Georgia	United States	x
522023586031079424	no	2014-10-14	x	x	x	x	x
522024037267283968	no	2014-10-14	x	x	Ohio	United States	x
522027491343364097	no	2014-10-14	x	x	x	x	x
522032663646179328	yes	2014-10-14	x	x	x	x	x
522034618019880960	no	2014-10-14	Newport News	Newport News City	Virginia	United States	x
522035344775348224	no	2014-10-14	x	x	x	x	x
522038311569747968	yes	2014-10-14	Windsor	Essex	Ontario	Canada	x
522044809008390144	yes	2014-10-14	New York	New York County	New York	United States	x
522046368349958145	yes	2014-10-14	West Palm Beach	Palm Beach County	Florida	United States	x
522052130694508544	yes	2014-10-14	New York	New York County	New York	United States	x
522056264302731264	yes	2014-10-14	x	x	x	x	x
522064718958047233	no	2014-10-14	New Orleans	Orleans Parish	Louisiana	United States	x
522071089544187905	no	2014-10-14	x	x	x	x	x
522081978820997120	yes	2014-10-14	x	x	x	x	x
522087060128428032	yes	2014-10-14	x	x	x	x	x
522087487141732352	no	2014-10-14	x	x	x	Canada	x
522094295528923136	no	2014-10-14	x	x	x	x	x
522107332520861696	no	2014-10-14	x	x	x	x	x
522119223922159616	no	2014-10-14	Somerset	El Dorado County	California	United States	x
522122438034083841	yes	2014-10-14	x	x	x	x	x
522128506294374400	yes	2014-10-14	x	x	Massachusetts	United States	x
522134270890872833	yes	2014-10-14	x	x	x	x	x
522139808458866688	no	2014-10-14	x	x	x	x	x
522145344197775361	yes	2014-10-14	x	x	x	x	x
522147749966254080	yes	2014-10-14	x	x	x	x	x
522166468377452544	yes	2014-10-14	x	x	x	x	x
522180016604344320	yes	2014-10-15	Seattle	King County	Washington	United States	x
522187703719587840	no	2014-10-15	x	x	Indiana	United States	x
